,correct_target,detokenized_text,scrambled_text,tokenized_text
0,1,what's that amount to anyway,"[""what's"", 'knew', 'amount', 'to', 'anyway']","[""what's"", 'that', 'amount', 'to', 'anyway']"
1,0,a defiant jeer answered him,"['idea', 'defiant', 'jeer', 'answered', 'him']","['a', 'defiant', 'jeer', 'answered', 'him']"
2,2,i'd like to sign on,"[""i'd"", 'like', 'sir', 'sign', 'on']","[""i'd"", 'like', 'to', 'sign', 'on']"
3,3,i'm naturally bloodthirsty and cruel,"[""i'm"", 'naturally', 'bloodthirsty', 'her', 'cruel']","[""i'm"", 'naturally', 'bloodthirsty', 'and', 'cruel']"
4,2,he's been reading jack london,"[""he's"", 'been', 'them', 'jack', 'london']","[""he's"", 'been', 'reading', 'jack', 'london']"
5,3,me for some rough stuff,"['me', 'for', 'some', 'to', 'stuff']","['me', 'for', 'some', 'rough', 'stuff']"
6,4,joe's a natural born'fusser,"[""joe's"", 'a', 'natural', 'born', 'what']","[""joe's"", 'a', 'natural', 'born', ""'fusser""]"
7,3,inquired joe with deep sarcasm,"['inquired', 'joe', 'with', 'are', 'sarcasm']","['inquired', 'joe', 'with', 'deep', 'sarcasm']"
8,3,or dig for hidden treasure,"['or', 'dig', 'for', 'seen', 'treasure']","['or', 'dig', 'for', 'hidden', 'treasure']"
9,3,make it two yawned joe,"['make', 'it', 'two', 'any', 'joe']","['make', 'it', 'two', 'yawned', 'joe']"
10,2,north east south and west,"['north', 'east', 'it', 'and', 'west']","['north', 'east', 'south', 'and', 'west']"
11,0,i want to do it,"['know', 'want', 'to', 'do', 'it']","['i', 'want', 'to', 'do', 'it']"
12,4,a bas la summer resort,"['a', 'bas', 'la', 'summer', 'steve']","['a', 'bas', 'la', 'summer', 'resort']"
13,0,that is the question friends,"['a', 'is', 'the', 'question', 'friends']","['that', 'is', 'the', 'question', 'friends']"
14,3,my grandmother bother your grandmother,"['my', 'grandmother', 'bother', 'eyes', 'grandmother']","['my', 'grandmother', 'bother', 'your', 'grandmother']"
15,1,the simple life for me,"['the', 'not', 'life', 'for', 'me']","['the', 'simple', 'life', 'for', 'me']"
16,2,i know the boat perry,"['i', 'know', 'got', 'boat', 'perry']","['i', 'know', 'the', 'boat', 'perry']"
17,0,the cockatoo will accommodate six,"['sing', 'cockatoo', 'will', 'accommodate', 'six']","['the', 'cockatoo', 'will', 'accommodate', 'six']"
18,0,and they're both good fellows,"['fast', ""they're"", 'both', 'good', 'fellows']","['and', ""they're"", 'both', 'good', 'fellows']"
19,3,remember the flapjacks he made,"['remember', 'the', 'flapjacks', 'see', 'made']","['remember', 'the', 'flapjacks', 'he', 'made']"
20,0,i didn't go said steve,"[""lid's"", ""didn't"", 'go', 'said', 'steve']","['i', ""didn't"", 'go', 'said', 'steve']"
21,3,do you honestly mean it,"['do', 'you', 'honestly', 'unwelcome', 'it']","['do', 'you', 'honestly', 'mean', 'it']"
22,4,wouldn't want to say offhand,"[""wouldn't"", 'want', 'to', 'say', 'his']","[""wouldn't"", 'want', 'to', 'say', 'offhand']"
23,3,we'd have to figure that,"[""we'd"", 'have', 'to', 'get', 'that']","[""we'd"", 'have', 'to', 'figure', 'that']"
24,3,oscar only shuffled his feet,"['oscar', 'only', 'shuffled', ""we're"", 'feet']","['oscar', 'only', 'shuffled', 'his', 'feet']"
25,2,i say hire remarked perry,"['i', 'say', 'is', 'remarked', 'perry']","['i', 'say', 'hire', 'remarked', 'perry']"
26,2,that's so george hanford confirmed,"[""that's"", 'so', 'she', 'hanford', 'confirmed']","[""that's"", 'so', 'george', 'hanford', 'confirmed']"
27,3,the silence was almost embarrassing,"['the', 'silence', 'was', 'to', 'embarrassing']","['the', 'silence', 'was', 'almost', 'embarrassing']"
28,2,that's all right he said,"[""that's"", 'all', 'best', 'he', 'said']","[""that's"", 'all', 'right', 'he', 'said']"
29,2,oughtn't we to do that,"[""oughtn't"", 'we', 'on', 'do', 'that']","[""oughtn't"", 'we', 'to', 'do', 'that']"
30,1,wait a minute said steve,"['wait', 'way', 'minute', 'said', 'steve']","['wait', 'a', 'minute', 'said', 'steve']"
31,3,oh am i butting in,"['oh', 'am', 'i', 'there', 'in']","['oh', 'am', 'i', 'butting', 'in']"
32,4,i'll come back later joe,"[""i'll"", 'come', 'back', 'later', 'some']","[""i'll"", 'come', 'back', 'later', 'joe']"
33,0,yes i'd love to thanks,"['but', ""i'd"", 'love', 'to', 'thanks']","['yes', ""i'd"", 'love', 'to', 'thanks']"
34,1,what officers do we want,"['what', 'it', 'do', 'we', 'want']","['what', 'officers', 'do', 'we', 'want']"
